🕘️更新时间,#genre#
深圳公共频道,http://113.64.197.227:6633/udp/239.77.1.126:5146
深圳宝安频道,http://113.90.247.190:4000/udp/239.77.1.67:5146
深圳龙岗频道,http://113.90.247.190:4000/udp/239.77.1.223:5146
深圳东部频道,http://183.30.201.234:10002/udp/239.77.1.224:5146
深圳众创TV,http://183.30.201.234:10002/udp/239.77.1.247:5146
深圳众创TV,http://113.64.197.227:6633/udp/239.77.1.247:5146
深圳宜和购物,http://113.90.247.190:4000/udp/239.77.1.87:5146
梅州-1,http://113.90.247.190:4000/udp/239.253.43.123:5146
梅州客家生活,http://183.30.201.234:10002/udp/239.253.43.124:5146
梅州客家生活,http://home.l-ht.cn:4000/rtp/239.253.43.124:5146
梅州客家生活,http://113.64.197.227:6633/udp/239.253.43.124:5146
梅州客家生活,http://113.90.247.190:4000/udp/239.253.43.124:5146
韶关新闻综合,http://113.90.247.190:4000/udp/239.77.0.117:5146
韶关新闻综合,http://home.l-ht.cn:4000/rtp/239.77.0.117:5146
湛江新闻综合,http://home.l-ht.cn:4000/rtp/239.77.0.141:5146
湛江公共,http://113.64.197.227:6633/udp/239.77.0.140:5146
湛江公共,http://home.l-ht.cn:4000/rtp/239.77.0.140:5146
湛江公共,http://183.30.201.234:10002/udp/239.77.0.140:5146
湛江公共,http://113.90.247.190:4000/udp/239.77.0.140:5146
揭阳综合,http://183.30.201.234:10002/udp/239.77.0.229:5146
揭阳综合,http://113.90.247.190:4000/udp/239.77.0.229:5146
揭阳生活,http://home.l-ht.cn:4000/rtp/239.77.0.251:5146
揭阳生活,http://113.90.247.190:4000/udp/239.77.0.251:5146
汕尾新闻综合,http://113.90.247.190:4000/udp/239.77.0.25:5146
汕尾文化生活,http://183.30.201.234:10002/udp/239.77.0.187:5146
汕尾文化生活,http://113.90.247.190:4000/udp/239.77.0.187:5146
江门综合,http://113.90.247.190:4000/udp/239.77.0.201:5146
江门侨乡生活,http://113.90.247.190:4000/udp/239.77.0.202:5146
惠州一套,http://113.90.247.190:4000/udp/239.77.1.232:5146
惠州一套,http://home.l-ht.cn:4000/rtp/239.77.1.232:5146
惠州一套,http://183.30.201.234:10002/udp/239.77.1.232:5146
惠州二套,http://113.64.197.227:6633/udp/239.77.1.233:5146
惠州二套,http://183.30.201.234:10002/udp/239.77.1.233:5146
惠州二套,http://113.90.247.190:4000/udp/239.77.1.233:5146
惠州二套,http://home.l-ht.cn:4000/rtp/239.77.1.233:5146
珠海1,http://113.90.247.190:4000/udp/239.77.0.155:5146
珠海1,http://113.64.197.227:6633/udp/239.77.0.155:5146
珠海1,http://183.30.201.234:10002/udp/239.77.0.155:5146
珠海1,http://home.l-ht.cn:4000/rtp/239.77.0.155:5146
珠海2,http://183.30.201.234:10002/udp/239.77.0.154:5146
珠海2,http://113.64.197.227:6633/udp/239.77.0.154:5146
肇庆综合,http://113.90.247.190:4000/udp/239.253.43.1:5146
肇庆生活服务,http://home.l-ht.cn:4000/rtp/239.253.43.2:5146
肇庆生活服务,http://113.90.247.190:4000/udp/239.253.43.2:5146
河源综合,http://home.l-ht.cn:4000/rtp/239.253.43.213:5146
河源综合,http://113.90.247.190:4000/udp/239.253.43.213:5146
河源公共,http://home.l-ht.cn:4000/rtp/239.253.43.214:5146
河源公共,http://113.90.247.190:4000/udp/239.253.43.214:5146
云浮综合,http://113.90.247.190:4000/udp/239.77.0.253:5146
云浮文旅,http://113.90.247.190:4000/udp/239.77.0.254:5146
茂名综合,http://113.90.247.190:4000/udp/239.77.0.206:5146
茂名综合,http://home.l-ht.cn:4000/rtp/239.77.0.206:5146
茂名公共,http://home.l-ht.cn:4000/rtp/239.77.0.207:5146
茂名公共,http://113.90.247.190:4000/udp/239.77.0.207:5146
汕头综合,http://113.90.247.190:4000/udp/239.253.43.45:5146
汕头综合,http://home.l-ht.cn:4000/rtp/239.77.1.130:5146
汕头经济生活,http://home.l-ht.cn:4000/rtp/239.253.43.46:5146
汕头经济生活,http://113.90.247.190:4000/udp/239.77.1.131:5146
汕头经济生活,http://113.90.247.190:4000/udp/239.253.43.46:5146
汕头文旅体育,http://home.l-ht.cn:4000/rtp/239.77.1.132:5146
汕头文旅体育,http://113.90.247.190:4000/udp/239.77.1.132:5146
东莞新闻综合,http://home.l-ht.cn:4000/rtp/239.253.43.104:5146
东莞新闻综合,http://113.90.247.190:4000/udp/239.253.43.104:5146
东莞生活资讯,http://home.l-ht.cn:4000/rtp/239.253.43.105:5146
东莞生活资讯,http://113.90.247.190:4000/udp/239.253.43.105:5146
中山综合,http://home.l-ht.cn:4000/rtp/239.253.43.62:5146
香山文化,http://113.90.247.190:4000/udp/239.253.43.63:5146
潮州综合,http://home.l-ht.cn:4000/rtp/239.253.43.70:5146
潮州民生,http://183.30.201.234:10002/udp/239.253.43.75:5146
潮州民生,http://113.90.247.190:4000/udp/239.253.43.75:5146
徐闻综合,http://183.30.201.234:10002/udp/239.253.43.112:5146
徐闻综合,http://113.64.197.227:6633/udp/239.253.43.112:5146
